function,ncalls,tottime_s,cumtime_s
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:271),270780,0.031840,0.031840
_filter_out (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:366),43356,0.036495,0.036495
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:380),178048,0.026925,0.026925
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:61),178048,0.129842,0.129842
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:263),333700,0.129215,0.129215
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:264),241667,0.115090,0.115090
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:266),311088,0.118547,0.118547
_transition_time (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:160),15478272,9.183902,17.567855
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_auto_switch_on.py:110),548400,0.115293,0.115293
set_time (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:76),40308,0.014017,0.014017
_releases_by_id (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:80),54237,0.266713,0.266713
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:268),1753615,0.277692,0.277692
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:270),2720894,0.328245,0.328245
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:132),14769,0.121118,0.214291
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:171),14769,0.121061,0.212973
turn_on (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:91),699,0.003512,0.035206
switch_off (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:95),1041,0.004209,0.038105
schedule (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_auto_switch_on.py:6),40308,0.212491,53.180078
_recalculate_release_at (/papers/SPARS-Pub/SPARS/Simulator/Algo/BaseAlgorithm.py:93),5159424,1.436415,1.748911
log_info (/papers/SPARS-Pub/SPARS/Logger.py:47),4,0.000005,0.000444
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_auto_switch_on.py:114),175334,0.015940,0.015940
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_auto_switch_on.py:119),175334,0.013830,0.013830
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_auto_switch_on.py:121),175334,0.016067,0.016067
