function,ncalls,tottime_s,cumtime_s
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:202),41795,0.064095,0.074068
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psas.py:94),2760417,0.445649,0.445649
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:86),18038,0.003542,0.003542
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:271),361443,0.045521,0.045521
_filter_out (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:335),43356,0.039262,0.039262
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:344),178048,0.031370,0.031370
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:61),178048,0.132169,0.132169
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:263),933305,0.168016,0.168016
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:264),260899,0.110782,0.110782
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:266),398880,0.117686,0.117686
_transition_time (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:166),16320347,10.376669,20.336276
prep_schedule (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:505),37437,0.127327,50.152464
set_time (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:93),37437,0.014356,0.014356
_releases_by_id (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:97),936750,3.913196,3.913196
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:268),877635,0.199922,0.199922
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:270),2508402,0.290809,0.290809
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:132),16444,0.132903,0.235503
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:171),16444,0.128580,0.228427
turn_on (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:91),806,0.004381,0.031936
switch_off (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:95),1273,0.005167,0.043330
log_info (/papers/SPARS-Pub/SPARS/Logger.py:47),4,0.000005,0.000370
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psas.py:278),5206705,0.527106,0.527106
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:264),361443,0.044943,0.044943
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:274),722886,0.080475,0.080475
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSAS.py:283),223462,0.027034,0.027034
_trace (/papers/SPARS-Pub/SPARS/Logger.py:10),79488,0.046926,0.070564
