function,ncalls,tottime_s,cumtime_s
<setcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:225),2306,0.003262,0.003262
<setcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:228),2306,0.000377,0.000377
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:232),65,0.000045,0.000045
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:294),2306,0.000202,0.000202
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:295),2306,0.014103,0.014103
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:65),448,0.000042,0.000042
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:139),2022,0.004834,0.004834
release (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:127),1000,0.000965,0.004076
switch_on (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:86),7,0.000019,0.000122
turn_off (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:102),4,0.000017,0.000109
switch_off (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:95),4,0.000016,0.000109
add_job_to_waiting_queue (/home/raka/SPARS-Pub/SPARS/Simulator/JobsManager.py:18),1000,0.000154,0.000195
allocate (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:111),1000,0.000815,0.003823
<lambda> (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:127),12772,0.000692,0.000692
start_simulator (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:157),1,0.000001,0.000001
on_finish (/home/raka/SPARS-Pub/SPARS/Simulator/JobsManager.py:12),1,0.000001,0.000025
add_job_to_scheduled_queue (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:36),1000,0.000480,0.000586
_set_prestart_release_time (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:68),1000,0.000738,0.003103
on_finish (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:161),1,0.000002,0.000476
_trace (/home/raka/SPARS-Pub/SPARS/Logger.py:10),5507,0.001271,0.002050
<lambda> (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:199),3073,0.000888,0.001040
release (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:101),1000,0.000347,0.004423
turn_on (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:113),7,0.000004,0.000137
turn_off (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:117),4,0.000003,0.000115
turn_on (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:91),7,0.000017,0.000128
validate_duplication (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:36),1022,0.000543,0.000668
schedule (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psus.py:5),2306,0.004304,0.222089
print_energy (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:79),1,0.000048,0.000104
update_node_state_duration (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:207),2306,0.025741,0.025741
<genexpr> (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:132),224,0.000214,0.000307
<genexpr> (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:171),224,0.000224,0.000320
<dictcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:34),4306,0.008920,0.008920
_agenda_by_id (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:33),4306,0.001010,0.009929
<setcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:50),1000,0.000272,0.000272
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:52),1000,0.000352,0.000352
