id,energy_consumption,energy_effective,energy_waste
0,168910.0,162450.0,6460.0
1,168910.0,162450.0,6460.0
2,168910.0,162450.0,6460.0
3,168910.0,162450.0,6460.0
4,168910.0,166250.0,2660.0
5,168910.0,166250.0,2660.0
6,168910.0,166250.0,2660.0
7,168910.0,166250.0,2660.0
8,168910.0,163590.0,5320.0
9,168910.0,163400.0,5510.0
10,168910.0,163400.0,5510.0
11,168910.0,163400.0,5510.0
12,168910.0,163400.0,5510.0
13,168910.0,163400.0,5510.0
14,168910.0,163400.0,5510.0
15,168910.0,166060.0,2850.0
16,168910.0,166060.0,2850.0
17,168910.0,164160.0,4750.0
18,168910.0,164160.0,4750.0
19,168910.0,164160.0,4750.0
20,168910.0,160550.0,8360.0
21,168910.0,165870.0,3040.0
22,168910.0,165870.0,3040.0
23,168910.0,167770.0,1140.0
24,168910.0,167770.0,1140.0
25,168910.0,165490.0,3420.0
26,168910.0,165490.0,3420.0
27,168910.0,165490.0,3420.0
28,168910.0,165490.0,3420.0
29,168910.0,165490.0,3420.0
30,168910.0,165490.0,3420.0
31,168910.0,159980.0,8930.0
32,168910.0,159980.0,8930.0
33,168910.0,159980.0,8930.0
34,168910.0,159980.0,8930.0
35,168910.0,159980.0,8930.0
36,168910.0,159980.0,8930.0
37,168910.0,159980.0,8930.0
38,168910.0,159980.0,8930.0
39,168910.0,159980.0,8930.0
40,168910.0,159980.0,8930.0
41,168910.0,162260.0,6650.0
42,168910.0,162260.0,6650.0
43,168910.0,165870.0,3040.0
44,168910.0,165870.0,3040.0
45,168910.0,165870.0,3040.0
46,168910.0,134710.0,34200.0
47,168910.0,163780.0,5130.0
48,168910.0,160930.0,7980.0
49,168910.0,160930.0,7980.0
50,168910.0,160930.0,7980.0
51,168910.0,157890.0,11020.0
52,168910.0,157890.0,11020.0
53,168910.0,157890.0,11020.0
54,168910.0,159600.0,9310.0
55,168910.0,156560.0,12350.0
56,168910.0,152380.0,16530.0
57,168910.0,150100.0,18810.0
58,168910.0,153140.0,15770.0
59,168910.0,150100.0,18810.0
60,168910.0,154280.0,14630.0
61,168910.0,153330.0,15580.0
62,168910.0,157320.0,11590.0
63,168910.0,157320.0,11590.0
64,168910.0,157320.0,11590.0
65,168910.0,162640.0,6270.0
66,168910.0,162640.0,6270.0
67,168910.0,161120.0,7790.0
68,168910.0,161310.0,7600.0
69,168910.0,161310.0,7600.0
70,168910.0,161310.0,7600.0
71,168910.0,159790.0,9120.0
72,168910.0,157700.0,11210.0
73,168910.0,159220.0,9690.0
74,168910.0,152000.0,16910.0
75,168910.0,152000.0,16910.0
76,168910.0,152000.0,16910.0
77,168910.0,152190.0,16720.0
78,168910.0,152190.0,16720.0
79,168910.0,153330.0,15580.0
80,168910.0,153330.0,15580.0
81,168910.0,152570.0,16340.0
82,168910.0,152570.0,16340.0
83,168910.0,159980.0,8930.0
84,168910.0,159980.0,8930.0
85,168910.0,156370.0,12540.0
86,168910.0,157700.0,11210.0
87,168910.0,156370.0,12540.0
88,168910.0,157320.0,11590.0
89,168910.0,155230.0,13680.0
90,168910.0,153330.0,15580.0
91,168910.0,152000.0,16910.0
92,168910.0,150860.0,18050.0
93,168910.0,156180.0,12730.0
94,168910.0,157700.0,11210.0
95,168910.0,152950.0,15960.0
96,168910.0,150860.0,18050.0
97,168910.0,131100.0,37810.0
98,168910.0,139460.0,29450.0
99,168910.0,139460.0,29450.0
100,168910.0,158650.0,10260.0
101,168910.0,158650.0,10260.0
102,168910.0,158650.0,10260.0
103,168910.0,158650.0,10260.0
104,168910.0,143260.0,25650.0
105,168910.0,149340.0,19570.0
106,168910.0,151430.0,17480.0
107,168910.0,147060.0,21850.0
108,168910.0,147060.0,21850.0
109,168910.0,143640.0,25270.0
110,168910.0,142880.0,26030.0
111,168910.0,142310.0,26600.0
112,168910.0,152950.0,15960.0
113,168910.0,161500.0,7410.0
114,168910.0,159980.0,8930.0
115,168910.0,147630.0,21280.0
116,168910.0,150290.0,18620.0
117,168910.0,138510.0,30400.0
118,168910.0,127490.0,41420.0
119,168910.0,128250.0,40660.0
120,168910.0,133760.0,35150.0
121,168910.0,139460.0,29450.0
122,168910.0,112670.0,56240.0
123,168910.0,131480.0,37430.0
124,168910.0,137370.0,31540.0
125,168910.0,129770.0,39140.0
126,168910.0,117040.0,51870.0
127,168910.0,119890.0,49020.0
