function,ncalls,tottime_s,cumtime_s
__init__ (jobs.py:32),915,0.001369,0.001369
name (jobs.py:35),2745,0.001404,0.001404
__init__ (jobs.py:158),915,0.004581,0.005951
__init__ (jobs.py:416),915,0.009375,0.015162
id (jobs.py:463),287060959,20.284972,20.284972
name (jobs.py:468),2745,0.006405,0.010721
workload (jobs.py:473),2745,0.001987,0.002900
subtime (jobs.py:478),42188,0.005889,0.005889
storage_mapping (jobs.py:483),1830,0.001412,0.001412
res (jobs.py:488),9377,0.008443,0.008443
profile (jobs.py:493),4575,0.001556,0.001556
walltime (jobs.py:498),13110879,1.121322,1.121322
state (jobs.py:508),9150,0.003392,0.003392
allocation (jobs.py:513),10065,0.021439,0.021439
is_running (jobs.py:521),6549769,1.870200,1.870200
is_runnable (jobs.py:526),221979,0.066085,0.066085
is_submitted (jobs.py:531),593979,0.197245,0.197245
start_time (jobs.py:551),13241363,1.104290,1.104290
stop_time (jobs.py:556),66795,0.006960,0.006960
waiting_time (jobs.py:561),38430,0.023655,0.033947
runtime (jobs.py:569),32940,0.030239,0.052834
stretch (jobs.py:580),4575,0.007108,0.015091
turnaround_time (jobs.py:591),11895,0.011783,0.067954
per_processor_slowdown (jobs.py:599),915,0.002843,0.014103
slowdown (jobs.py:607),2745,0.004720,0.051735
_allocate (jobs.py:615),915,0.009801,0.024256
_submit (jobs.py:682),915,0.002950,0.003313
_start (jobs.py:704),915,0.005227,0.006206
_terminate (jobs.py:728),915,0.006435,0.008635
id (resources.py:95),1723288,0.285043,0.285043
watt_idle (resources.py:100),2050561947,189.747506,189.747506
watt_full (resources.py:105),7390824497,975.047869,975.047869
id (resources.py:332),9452768175,937.327085,937.327085
state (resources.py:342),1700888,0.302926,0.302926
jobs (resources.py:347),7288211,4.466491,4.466491
pstate (resources.py:352),14165095420,1079.579213,1079.579213
is_allocated (resources.py:373),74141011,17.053421,17.053421
is_idle (resources.py:378),419622,0.209477,0.209477
is_computing (resources.py:383),4721333855,1252.706640,1252.706640
is_sleeping (resources.py:398),209811,0.048063,0.048063
is_shareable (resources.py:403),209811,0.022820,0.022820
is_unavailable (resources.py:408),419622,0.304931,0.304931
power (resources.py:413),4721124044,2918.727478,5342.254189
