timeout_s,timeout_min,algo,total_energy_consumption,total_energy_waste,mean_waiting_time
2100,35,FCFS_PSAS (NEW),23499154758.0,6967776560.0,1087.7227448810183
2100,35,FCFS_PSAS (OLD),24533288846.0,8068349080.0,986.571389042612
2100,35,SJF_PSAS (NEW 2),23634386168.0,7112819140.0,759.0536801328168
2100,35,SJF_PSAS (NEW),23634386168.0,7112819140.0,759.0536801328168
2400,40,EASY_PSAS (NEW),23248384847.0,6700074310.0,633.986441615938
2400,40,EASY_PSAS (OLD),24696564761.0,8234502970.0,591.5013835085778
2400,40,FCFS_PSAS (NEW),23704714988.0,7180779700.0,1068.4443829551744
2400,40,FCFS_PSAS (OLD),24781467879.0,8321100590.0,869.956281128943
2400,40,SJF_PSAS (NEW 2),23734074271.0,7213495110.0,730.2509684560044
2400,40,SJF_PSAS (NEW),23734074271.0,7213495110.0,730.2509684560044
2700,45,EASY_PSAS (NEW),23509261230.0,6971914520.0,582.9142224681793
2700,45,EASY_PSAS (OLD),24896547314.0,8441449480.0,561.0857775318207
2700,45,FCFS_PSAS (NEW),23895939313.0,7378613490.0,926.9991698948534
2700,45,FCFS_PSAS (OLD),25042108419.0,8593730030.0,808.9745434421693
2700,45,SJF_PSAS (NEW 2),23911298792.0,7398689500.0,647.4183729939126
2700,45,SJF_PSAS (NEW),23911298792.0,7398689500.0,647.4183729939126
3000,50,EASY_PSAS (NEW),23795559609.0,7269500330.0,602.3696734919756
3000,50,EASY_PSAS (OLD),25225435355.0,8783337670.0,531.6353071389043
3000,50,FCFS_PSAS (NEW),24313388663.0,7813644790.0,923.795517432208
3000,50,FCFS_PSAS (OLD),25352342962.0,8914870800.0,785.0888212506918
3000,50,SJF_PSAS (NEW 2),24160825030.0,7659132720.0,604.822634200332
3000,50,SJF_PSAS (NEW),24160825030.0,7659132720.0,604.822634200332
3300,55,EASY_PSAS (NEW),24138249443.0,7627690990.0,538.0481460985059
3300,55,EASY_PSAS (OLD),25434766923.0,9000048590.0,523.0376314333149
3300,55,FCFS_PSAS (NEW),24513300448.0,8020953540.0,836.759822910902
3300,55,FCFS_PSAS (OLD),25476946801.0,9040988610.0,748.5298837852795
3300,55,SJF_PSAS (NEW 2),24470905361.0,7980856810.0,570.2069728832319
3300,55,SJF_PSAS (NEW),24470905361.0,7980856810.0,570.2069728832319
3600,60,EASY_PSAS (NEW),24224214850.0,7714059120.0,520.9117321527393
3600,60,EASY_PSAS (OLD),25641100950.0,9212122520.0,443.1483121195352
3600,60,FCFS_PSAS (NEW),24584583859.0,8092314630.0,799.216104039845
3600,60,FCFS_PSAS (OLD),25639974406.0,9208380360.0,617.1460985058108
3600,60,SJF_PSAS (NEW 2),24538752125.0,8045580970.0,544.0570005534034
3600,60,SJF_PSAS (NEW),24538752125.0,8045580970.0,544.0570005534034
