function,ncalls,tottime_s,cumtime_s
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:268),16431,0.006958,0.006958
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:270),140384,0.014352,0.014352
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:132),296,0.001146,0.002037
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:171),264,0.000997,0.001809
turn_on (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:91),39,0.000083,0.000619
switch_off (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:95),68,0.000105,0.000778
schedule (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psus.py:5),2723,0.013517,0.665296
log_info (/papers/SPARS-Pub/SPARS/Logger.py:47),4,0.000004,0.000312
<genexpr> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:64),5900,0.000908,0.000908
_trace (/papers/SPARS-Pub/SPARS/Logger.py:10),6146,0.002329,0.003613
schedule (/papers/SPARS-Pub/SPARS/Simulator/Scheduler.py:34),2723,0.001719,0.667358
_set_prestart_release_time (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:68),1000,0.001238,0.003798
print_states_dur (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:98),1,0.000271,0.000403
_get_nodes_by_ids (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:138),2213,0.007861,0.008378
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:130),13434,0.001869,0.001869
start_simulator (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:160),1,0.000001,0.000001
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:186),3935,0.000585,0.000585
set_time (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:207),2723,0.000343,0.000343
<lambda> (/papers/SPARS-Pub/SPARS/Simulator/Algo/easy_psus.py:21),153152,0.010239,0.010239
push_event (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:198),1189,0.002648,0.004202
_schedule_next_rl_tick (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:153),2723,0.000363,0.000363
on_finish (/papers/SPARS-Pub/SPARS/Simulator/Simulator.py:164),1,0.000008,0.000819
validate_duplication (/papers/SPARS-Pub/SPARS/Simulator/PlatformControl.py:36),1213,0.001290,0.001624
update_custom_resources_agenda_partial (/papers/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:78),1000,0.002682,0.006148
on_finish (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:120),1,0.000031,0.000594
allocate (/papers/SPARS-Pub/SPARS/Simulator/Machine.py:111),1000,0.001079,0.004810
update_node_state_duration (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:207),2723,0.036798,0.036798
print_energy (/papers/SPARS-Pub/SPARS/Simulator/Monitor.py:79),1,0.000062,0.000152
current_process (/usr/lib/python3.13/multiprocessing/process.py:37),4,0.000001,0.000001
name (/usr/lib/python3.13/multiprocessing/process.py:189),4,0.000001,0.000001
<method 'disable' of '_lsprof.Profiler' objects> (~:0),1,0.000023,0.000023
<built-in method _asyncio.current_task> (~:0),4,0.000005,0.000005
disable (/usr/lib/python3.13/logging/__init__.py:1354),1,0.000000,0.000000
handle (/usr/lib/python3.13/logging/__init__.py:1011),4,0.000009,0.000137
filter (/usr/lib/python3.13/logging/__init__.py:840),8,0.000003,0.000003
flush (/usr/lib/python3.13/logging/__init__.py:1131),4,0.000006,0.000011
_format (/usr/lib/python3.13/logging/__init__.py:463),4,0.000007,0.000007
getEffectiveLevel (/usr/lib/python3.13/logging/__init__.py:1751),1,0.000000,0.000000
format (/usr/lib/python3.13/logging/__init__.py:470),4,0.000002,0.000009
emit (/usr/lib/python3.13/logging/__init__.py:1139),4,0.000008,0.000126
current_thread (/usr/lib/python3.13/threading.py:1429),4,0.000003,0.000003
info (/usr/lib/python3.13/logging/__init__.py:1510),4,0.000010,0.000309
getLevelName (/usr/lib/python3.13/logging/__init__.py:129),4,0.000002,0.000003
getMessage (/usr/lib/python3.13/logging/__init__.py:391),4,0.000002,0.000002
format (/usr/lib/python3.13/logging/__init__.py:988),4,0.000003,0.000030
makeRecord (/usr/lib/python3.13/logging/__init__.py:1626),4,0.000008,0.000099
