function,ncalls,tottime_s,cumtime_s
<setcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:225),2623,0.004221,0.004221
<setcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:228),2623,0.000493,0.000493
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:232),26,0.000034,0.000034
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:294),2623,0.000269,0.000269
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:295),2623,0.014891,0.014891
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:65),716,0.000100,0.000100
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:139),2236,0.006036,0.006036
release (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:127),1000,0.001143,0.004694
switch_on (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:86),59,0.000053,0.000375
turn_off (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:102),56,0.000052,0.000362
switch_off (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:95),62,0.000066,0.000475
add_job_to_waiting_queue (/home/raka/SPARS-Pub/SPARS/Simulator/JobsManager.py:18),1000,0.000176,0.000226
allocate (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:111),1000,0.000968,0.004408
<lambda> (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:127),14427,0.000942,0.000942
start_simulator (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:157),1,0.000000,0.000000
on_finish (/home/raka/SPARS-Pub/SPARS/Simulator/JobsManager.py:12),1,0.000001,0.000030
add_job_to_scheduled_queue (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:36),1000,0.000584,0.000706
_set_prestart_release_time (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:68),1000,0.000855,0.003540
on_finish (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:161),1,0.000002,0.000540
_trace (/home/raka/SPARS-Pub/SPARS/Logger.py:10),6064,0.001692,0.002711
<lambda> (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:199),3313,0.001159,0.001350
release (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:101),1000,0.000414,0.005108
turn_on (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:113),59,0.000030,0.000446
turn_off (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:117),56,0.000030,0.000426
turn_on (/home/raka/SPARS-Pub/SPARS/Simulator/Machine.py:91),59,0.000050,0.000379
validate_duplication (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:36),1236,0.000692,0.000841
print_energy (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:79),1,0.000051,0.000112
update_node_state_duration (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:207),2623,0.032298,0.032298
<genexpr> (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:132),430,0.000530,0.000757
<genexpr> (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:171),334,0.000402,0.000574
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/easy_psus.py:29),395537,0.019008,0.019008
<dictcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:34),4623,0.010811,0.010811
_agenda_by_id (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:33),4623,0.001215,0.012026
<setcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:50),1000,0.000301,0.000301
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:52),1000,0.000373,0.000373
<setcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:55),1000,0.001602,0.001602
<listcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:59),1000,0.000261,0.000261
<genexpr> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:64),5900,0.000460,0.000460
<dictcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:104),2623,0.006551,0.006551
<setcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:105),2623,0.004318,0.004318
<dictcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:134),2623,0.006386,0.006386
<dictcomp> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:224),2623,0.006366,0.006366
update_custom_resources_agenda_partial (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:78),1000,0.001904,0.005242
FCFSPSUS (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/fcfs_psus.py:14),2623,0.002714,0.019415
<lambda> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:186),1918,0.000206,0.000206
set_time (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:207),2623,0.000332,0.000332
<lambda> (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/easy_psus.py:21),140416,0.006256,0.006256
schedule (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/easy_psus.py:5),2623,0.007248,0.463140
<genexpr> (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:268),19343,0.007265,0.007265
<genexpr> (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:270),136302,0.011289,0.011289
<genexpr> (/home/raka/SPARS-Pub/SPARS/Simulator/PlatformControl.py:61),5900,0.002869,0.002869
push_event (/home/raka/SPARS-Pub/SPARS/Simulator/Algo/BasePSUS.py:198),1198,0.001258,0.001967
on_finish (/home/raka/SPARS-Pub/SPARS/Simulator/Monitor.py:120),1,0.000019,0.000424
schedule (/home/raka/SPARS-Pub/SPARS/Simulator/Scheduler.py:34),2623,0.001356,0.464828
log_info (/home/raka/SPARS-Pub/SPARS/Logger.py:47),4,0.000002,0.000167
_schedule_next_rl_tick (/home/raka/SPARS-Pub/SPARS/Simulator/Simulator.py:150),2623,0.000279,0.000279
current_process (/usr/lib/python3.11/multiprocessing/process.py:37),4,0.000001,0.000001
name (/usr/lib/python3.11/multiprocessing/process.py:189),4,0.000001,0.000001
<method 'disable' of '_lsprof.Profiler' objects> (~:0),1,0.000000,0.000000
isEnabledFor (/usr/lib/python3.11/logging/__init__.py:1734),6068,0.001020,0.001020
name (/usr/lib/python3.11/threading.py:1152),4,0.000001,0.000001
usesTime (/usr/lib/python3.11/logging/__init__.py:432),4,0.000002,0.000003
current_thread (/usr/lib/python3.11/threading.py:1453),4,0.000002,0.000002
format (/usr/lib/python3.11/logging/__init__.py:447),4,0.000001,0.000005
handle (/usr/lib/python3.11/logging/__init__.py:1636),4,0.000003,0.000070
info (/usr/lib/python3.11/logging/__init__.py:1479),4,0.000005,0.000164
makeRecord (/usr/lib/python3.11/logging/__init__.py:1595),4,0.000004,0.000060
<lambda> (/usr/lib/python3.11/logging/__init__.py:164),4,0.000003,0.000004
usesTime (/usr/lib/python3.11/logging/__init__.py:652),4,0.000001,0.000005
formatMessage (/usr/lib/python3.11/logging/__init__.py:658),4,0.000001,0.000007
_is_internal_frame (/usr/lib/python3.11/logging/__init__.py:194),12,0.000006,0.000011
getMessage (/usr/lib/python3.11/logging/__init__.py:368),4,0.000001,0.000001
_format (/usr/lib/python3.11/logging/__init__.py:440),4,0.000004,0.000004
acquire (/usr/lib/python3.11/logging/__init__.py:922),8,0.000004,0.000005
release (/usr/lib/python3.11/logging/__init__.py:929),8,0.000002,0.000003
format (/usr/lib/python3.11/logging/__init__.py:942),4,0.000002,0.000019
getLevelName (/usr/lib/python3.11/logging/__init__.py:123),4,0.000001,0.000002
filter (/usr/lib/python3.11/logging/__init__.py:815),8,0.000002,0.000002
handle (/usr/lib/python3.11/logging/__init__.py:965),4,0.000005,0.000062
emit (/usr/lib/python3.11/logging/__init__.py:1098),4,0.000005,0.000051
flush (/usr/lib/python3.11/logging/__init__.py:1087),4,0.000005,0.000009
log_trace (/home/raka/SPARS-Pub/SPARS/Logger.py:43),6064,0.002607,0.005317
